Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Seychelles;212,5;2019;SYC;536,8;60,3;97700;16,1;Africa;30/11/2020;172;;8,606;1738,955;;31,48;41900;0,656496971;0,428863869;0,590793248;428
Sierra Leone;108,2;2019;SLE;9,8;84,4;7813200;8,4;Africa;30/11/2020;2412;74;2,538;296,266;9,089;40,74;4493800;-1,796384567;0,575154866;0,290354428;71
South Africa;48,3;2019;ZAF;62,1;67,6;58558300;28;Africa;30/11/2020;790004;21535;5,344;13157,524;358,666;44,44;19409900;0,001977429;0,331462833;0,510625056;14797
Tanzania;65,5;2019;TZA;11,7;90,3;58005500;7,9;Africa;30/11/2020;509;21;3,108;8,277;0,341;17,59;37993600;-1,754973121;0,654999957;0,295426669;1527
Tunisia;75,3;2019;TUN;48,3;74,4;11692700;29;Africa;30/11/2020;96769;3260;8,001;8107,483;273,129;68,52;3594600;-0,798255282;0,30742258;0,412609327;9429
Uganda;220,8;2019;UGA;8,5;88,7;44269600;4,7;Africa;30/11/2020;20459;205;2,168;434,157;4,35;53,7;33485100;-1,903538843;0,75639039;0,27722974;0
United Arab Emirates;133,8;2019;ARE;729,1;68,8;9503700;38,1;Asia;30/11/2020;168860;572;1,144;16901,071;57,251;49,07;1191900;1,308377155;0,125414312;0,670638161;21553
Zambia;24;2019;ZMB;28,8;80,1;17861000;7,2;Africa;30/11/2020;17647;357;2,48;932,684;18,868;45,37;9989300;-1,52245559;0,559279996;0,323906353;1266
Zimbabwe;37,9;2019;ZWE;15,3;74,5;14645500;12,7;Africa;30/11/2020;9950;276;2,822;659,282;18,288;67,59;9928200;-3,341647033;0,677901062;0,101084451;2294
Canada;4,2;2019;CAN;2489,5;51,3;37593400;32,9;North America;30/11/2020;382708;12239;16,984;10053,296;321,504;70,83;6963700;3,526959645;0,185237302;0,942379089;32430
